Age,Gender,Education Level,Job Title,Years of Experience,Salary
27,Male,Bachelor's,Systems Engineer,8,49440
56,Male,PhD,Marketing Manager,33,119600
62,Male,PhD,Data Analyst,7,87700
58,Female,Bachelor's,Data Scientist,34,84200
45,Female,Bachelor's,Data Scientist,7,49100
50,Female,Bachelor's,UX Designer,7,48050
52,Female,Bachelor's,Software Engineer,36,83200
56,Male,Bachelor's,Project Manager,7,48050
54,Female,Master's,Systems Engineer,20,83600
42,Male,Bachelor's,Data Analyst,18,59800
53,Female,Master's,Data Analyst,14,75400
44,Female,PhD,Project Manager,14,96100
54,Female,Bachelor's,Project Manager,21,64150
24,Male,Bachelor's,Sales Executive,27,69700
39,Female,Bachelor's,Marketing Manager,26,71200
46,Female,PhD,Sales Executive,27,109700
63,Female,Master's,Product Manager,24,90000
52,Male,Master's,Product Manager,5,66250
24,Female,Bachelor's,Software Engineer,38,85600
61,Female,Bachelor's,UX Designer,28,72200
45,Male,Bachelor's,Systems Engineer,32,77760
53,Male,Bachelor's,Data Analyst,24,66400
43,Female,PhD,Marketing Manager,6,87200
44,Female,Bachelor's,Data Scientist,10,53000
23,Female,PhD,Data Scientist,3,83900
48,Male,Bachelor's,HR Specialist,7,47350
63,Male,Master's,Project Manager,29,93350
23,Male,Master's,Software Engineer,34,100800
47,Female,Bachelor's,HR Specialist,7,47350
38,Male,Bachelor's,HR Specialist,17,57850
61,Female,PhD,UX Designer,13,94950
54,Male,Bachelor's,Systems Engineer,21,64780
30,Male,Bachelor's,Data Analyst,31,74100
64,Male,Bachelor's,Marketing Manager,9,50800
60,Female,Master's,Data Scientist,13,76900
50,Female,PhD,Data Scientist,17,102100
63,Female,Master's,Data Scientist,8,70400
47,Female,PhD,Product Manager,9,91250
56,Male,Master's,Systems Engineer,9,70620
46,Female,Bachelor's,Software Engineer,30,76000
45,Male,Master's,Data Scientist,7,69100
34,Female,Master's,UX Designer,17,79550
28,Female,PhD,Data Scientist,39,130700
57,Male,PhD,Software Engineer,38,125600
41,Male,Master's,Product Manager,5,66250
22,Female,PhD,UX Designer,17,99550
29,Female,PhD,HR Specialist,1,81050
37,Male,PhD,Software Engineer,16,99200
35,Male,PhD,HR Specialist,17,97850
33,Male,PhD,Project Manager,30,114500
44,Male,Master's,Sales Executive,31,94100
36,Male,PhD,Data Scientist,35,125500
49,Female,Bachelor's,Software Engineer,8,49600
55,Female,Master's,Sales Executive,30,93000
23,Female,Master's,Marketing Manager,39,106800
53,Female,Master's,UX Designer,21,84150
44,Male,PhD,Systems Engineer,15,97700
43,Male,Bachelor's,Project Manager,34,79100
46,Male,PhD,Marketing Manager,27,112400
43,Female,Master's,Marketing Manager,2,62400
43,Male,Master's,Project Manager,10,71500
63,Male,Master's,HR Specialist,5,65250
27,Female,Master's,Software Engineer,27,92400
36,Female,PhD,Data Analyst,4,84400
64,Female,Bachelor's,Data Scientist,13,56900
58,Male,Bachelor's,UX Designer,17,59550
54,Male,Master's,Product Manager,21,86250
29,Female,Bachelor's,Software Engineer,23,67600
26,Female,Master's,Data Scientist,33,102900
60,Male,Master's,Software Engineer,15,78000
25,Female,Bachelor's,Marketing Manager,14,56800
27,Male,Master's,Data Analyst,9,69900
53,Female,Bachelor's,Product Manager,37,86250
51,Female,Master's,Software Engineer,30,96000
56,Female,Bachelor's,Data Scientist,29,77700
61,Male,Master's,Product Manager,23,88750
37,Male,Bachelor's,Product Manager,34,82500
34,Female,Master's,Systems Engineer,7,68260
63,Male,Master's,UX Designer,9,70350
51,Female,Master's,Marketing Manager,4,64800
40,Female,Bachelor's,Systems Engineer,2,42360
38,Male,PhD,Data Scientist,27,115100
40,Male,Master's,Data Scientist,33,102900
49,Male,Master's,HR Specialist,32,93600
47,Male,Bachelor's,Software Engineer,37,84400
58,Female,Master's,Software Engineer,27,92400
47,Male,Master's,HR Specialist,28,89400
44,Male,Master's,Sales Executive,3,63300
30,Female,Master's,Project Manager,36,101400
33,Female,PhD,Software Engineer,8,89600
22,Female,PhD,Project Manager,37,122550
22,Female,Master's,Software Engineer,38,105600
55,Male,Master's,UX Designer,22,85300
53,Male,Master's,Sales Executive,14,75400
46,Female,PhD,Data Analyst,15,96500
61,Female,PhD,Sales Executive,4,84400
22,Male,Bachelor's,Data Scientist,18,63400
37,Male,Bachelor's,HR Specialist,1,41050
60,Male,Master's,Data Scientist,12,75600
26,Male,Master's,Data Analyst,17,78700
43,Male,PhD,Systems Engineer,19,102420
50,Female,Master's,Data Scientist,36,106800
24,Female,Master's,Data Scientist,7,69100
33,Female,PhD,Data Scientist,9,91700
47,Female,PhD,Product Manager,8,90000
37,Male,PhD,Project Manager,25,108750
58,Female,PhD,Sales Executive,7,87700
43,Male,Bachelor's,Systems Engineer,8,49440
50,Male,PhD,Sales Executive,24,106400
35,Male,PhD,UX Designer,17,99550
49,Male,Master's,Project Manager,12,73800
26,Male,Master's,Systems Engineer,31,96580
51,Male,Master's,UX Designer,12,73800
26,Male,Bachelor's,Marketing Manager,2,42400
33,Female,PhD,Product Manager,12,95000
37,Male,PhD,Data Scientist,27,115100
47,Female,Bachelor's,Product Manager,7,48750
47,Female,PhD,Sales Executive,13,94300
42,Male,Master's,Systems Engineer,36,102480
60,Male,Bachelor's,UX Designer,1,41150
57,Female,PhD,Data Analyst,35,118500
54,Female,Bachelor's,UX Designer,30,74500
51,Female,Bachelor's,Product Manager,31,78750
58,Female,PhD,Data Scientist,17,102100
44,Male,Master's,Data Analyst,8,68800
31,Male,PhD,Sales Executive,3,83300
26,Male,PhD,Data Analyst,10,91000
57,Female,Master's,Project Manager,34,99100
55,Male,PhD,Marketing Manager,22,106400
52,Female,PhD,Data Scientist,4,85200
31,Male,PhD,Product Manager,32,120000
40,Female,Bachelor's,Systems Engineer,29,74220
53,Male,Bachelor's,HR Specialist,11,51550
22,Male,Bachelor's,Data Analyst,13,54300
26,Female,PhD,Software Engineer,4,84800
25,Female,Master's,HR Specialist,2,62100
37,Female,Bachelor's,Sales Executive,34,77400
45,Female,Master's,Software Engineer,22,86400
37,Female,PhD,Software Engineer,5,86000
23,Male,Bachelor's,Software Engineer,9,50800
49,Female,PhD,UX Designer,20,103000
53,Male,Master's,HR Specialist,21,82050
48,Male,Bachelor's,Sales Executive,17,58700
41,Male,Bachelor's,Product Manager,12,55000
45,Male,Bachelor's,Marketing Manager,28,73600
33,Male,Bachelor's,Sales Executive,18,59800
56,Female,Master's,Product Manager,3,63750
54,Female,Bachelor's,Product Manager,5,46250
54,Male,PhD,Software Engineer,14,96800
64,Male,Bachelor's,Data Scientist,26,73800
58,Female,Master's,HR Specialist,19,79950
33,Female,Bachelor's,Product Manager,17,61250
24,Male,Master's,HR Specialist,39,100950
22,Female,Master's,Project Manager,4,64600
54,Female,PhD,UX Designer,35,120250
61,Female,Bachelor's,Marketing Manager,24,68800
31,Male,Bachelor's,Project Manager,13,54950
64,Female,Bachelor's,Product Manager,33,81250
50,Male,PhD,Sales Executive,15,96500
34,Male,PhD,HR Specialist,15,95750
33,Male,Master's,Project Manager,31,95650
52,Male,Master's,HR Specialist,28,89400
23,Male,Master's,UX Designer,10,71500
56,Female,PhD,Sales Executive,7,87700
44,Male,PhD,Project Manager,33,117950
38,Male,PhD,HR Specialist,7,87350
47,Male,Master's,Sales Executive,5,65500
29,Female,PhD,Software Engineer,26,111200
50,Female,Master's,Data Analyst,16,77600
47,Female,Master's,Software Engineer,8,69600
31,Female,Bachelor's,Marketing Manager,22,66400
47,Female,Bachelor's,Product Manager,34,82500
55,Female,Bachelor's,Data Scientist,28,76400
62,Female,Master's,Data Analyst,36,99600
28,Male,Bachelor's,Product Manager,7,48750
25,Male,Bachelor's,Project Manager,28,72200
32,Female,Bachelor's,Marketing Manager,2,42400
50,Male,PhD,UX Designer,9,90350
57,Male,Master's,Marketing Manager,6,67200
46,Female,Bachelor's,HR Specialist,1,41050
42,Male,PhD,Marketing Manager,3,83600
57,Male,PhD,Project Manager,10,91500
31,Female,PhD,UX Designer,37,122550
58,Male,Bachelor's,UX Designer,23,66450
30,Female,PhD,Systems Engineer,33,118940
45,Female,Master's,Marketing Manager,9,70800
56,Male,PhD,Software Engineer,13,95600
56,Male,PhD,Systems Engineer,28,113040
57,Male,PhD,Systems Engineer,7,88260
39,Female,PhD,Project Manager,26,109900
60,Female,Master's,Data Analyst,16,77600
53,Female,Bachelor's,Software Engineer,26,71200
45,Male,Master's,UX Designer,39,104850
44,Male,Master's,Marketing Manager,32,98400
53,Female,Bachelor's,Systems Engineer,36,82480
58,Male,PhD,Product Manager,1,81250
33,Male,Bachelor's,Product Manager,21,66250
34,Female,Bachelor's,Systems Engineer,13,55340
44,Female,Master's,HR Specialist,26,87300
46,Male,Bachelor's,Marketing Manager,9,50800
56,Female,PhD,Project Manager,37,122550
62,Male,Master's,UX Designer,23,86450
51,Female,PhD,Systems Engineer,1,81180
38,Female,Master's,Software Engineer,2,62400
41,Female,PhD,Systems Engineer,28,113040
46,Male,Bachelor's,Sales Executive,36,79600
43,Male,Bachelor's,UX Designer,31,75650
34,Female,Bachelor's,Data Analyst,5,45500
40,Female,PhD,UX Designer,37,122550
57,Female,Master's,Software Engineer,25,90000
33,Male,Master's,Sales Executive,8,68800
62,Female,Master's,Data Analyst,34,97400
40,Female,Bachelor's,Data Scientist,39,90700
33,Female,PhD,Software Engineer,32,118400
30,Female,Master's,Product Manager,11,73750
28,Male,PhD,HR Specialist,25,106250
49,Male,Master's,UX Designer,3,63450
35,Female,Bachelor's,Data Scientist,32,81600
52,Male,PhD,Sales Executive,35,118500
40,Male,Master's,Data Scientist,32,101600
37,Male,Master's,Project Manager,34,99100
26,Female,Master's,Marketing Manager,37,104400
56,Male,Master's,UX Designer,5,65750
33,Male,Bachelor's,Marketing Manager,28,73600
46,Male,Master's,Product Manager,28,95000
42,Female,Master's,Data Scientist,8,70400
57,Female,Bachelor's,Sales Executive,27,69700
44,Male,Master's,Product Manager,16,80000
37,Male,PhD,Marketing Manager,18,101600
60,Female,PhD,Data Scientist,25,112500
63,Female,Master's,Product Manager,1,61250
60,Male,Bachelor's,Software Engineer,8,49600
35,Male,Bachelor's,Systems Engineer,21,64780
52,Female,Bachelor's,HR Specialist,34,75700
26,Female,Master's,Data Analyst,24,86400
56,Male,Master's,Software Engineer,37,104400
44,Female,PhD,Product Manager,26,112500
50,Male,Bachelor's,Sales Executive,14,55400
64,Male,Master's,Project Manager,29,93350
32,Male,Master's,Systems Engineer,30,95400
39,Female,Master's,Data Analyst,3,63300
33,Male,Bachelor's,Software Engineer,7,48400
30,Male,Bachelor's,Project Manager,36,81400
31,Female,PhD,Project Manager,11,92650
38,Female,Bachelor's,Project Manager,32,76800
59,Male,Master's,Systems Engineer,12,74160
28,Male,PhD,Data Scientist,15,99500
34,Female,Bachelor's,Software Engineer,38,85600
61,Female,Bachelor's,Data Scientist,24,71200
63,Female,Bachelor's,UX Designer,1,41150
30,Male,Bachelor's,Systems Engineer,18,61240
48,Male,Master's,Project Manager,7,68050
23,Male,Bachelor's,Project Manager,2,42300
26,Female,Master's,Systems Engineer,31,96580
50,Male,Master's,UX Designer,33,97950
58,Female,Master's,HR Specialist,30,91500
59,Male,PhD,Sales Executive,31,114100
40,Female,Master's,HR Specialist,34,95700
29,Male,Bachelor's,Data Scientist,7,49100
22,Male,PhD,Systems Engineer,25,109500
43,Female,Bachelor's,Sales Executive,16,57600
38,Female,Master's,HR Specialist,22,83100
28,Male,Bachelor's,Data Scientist,36,86800
46,Female,PhD,Product Manager,27,113750
25,Female,PhD,Marketing Manager,17,100400
57,Male,Bachelor's,Sales Executive,4,44400
27,Female,Bachelor's,Data Analyst,35,78500
52,Male,Bachelor's,Sales Executive,22,64200
40,Male,PhD,Data Scientist,35,125500
60,Female,Master's,Project Manager,15,77250
48,Female,Bachelor's,Data Scientist,21,67300
31,Male,Master's,Software Engineer,13,75600
47,Male,PhD,Project Manager,11,92650
40,Male,Bachelor's,Data Scientist,27,75100
60,Male,Bachelor's,HR Specialist,31,72550
24,Male,PhD,Marketing Manager,32,118400
34,Male,Bachelor's,Data Scientist,30,79000
49,Female,Master's,HR Specialist,18,78900
41,Female,PhD,Data Analyst,16,97600
49,Female,PhD,Software Engineer,35,122000
29,Male,Bachelor's,Product Manager,9,51250
62,Female,PhD,Software Engineer,39,126800
60,Male,Bachelor's,Project Manager,37,82550
22,Male,Bachelor's,Marketing Manager,10,52000
24,Female,PhD,Software Engineer,12,94400
34,Male,Bachelor's,Sales Executive,8,48800
49,Male,Master's,Product Manager,3,63750
46,Male,Master's,Project Manager,19,81850
54,Male,Bachelor's,Sales Executive,11,52100
59,Male,Master's,Project Manager,8,69200
27,Male,Bachelor's,Sales Executive,26,68600
53,Female,Master's,UX Designer,23,86450
42,Male,PhD,Marketing Manager,10,92000
37,Male,Bachelor's,HR Specialist,18,58900
42,Male,Bachelor's,Software Engineer,12,54400
32,Male,Bachelor's,Data Analyst,39,82900
58,Female,Bachelor's,Sales Executive,26,68600
57,Female,Bachelor's,UX Designer,11,52650
56,Male,Bachelor's,Marketing Manager,10,52000
40,Male,PhD,Data Analyst,3,83300
41,Male,PhD,Software Engineer,7,88400
39,Female,Master's,UX Designer,4,64600
62,Female,Bachelor's,Data Analyst,8,48800
35,Female,Master's,Product Manager,38,107500
36,Female,Master's,Systems Engineer,13,75340
52,Male,PhD,Project Manager,12,93800
22,Female,Master's,Project Manager,35,100250
24,Female,PhD,Data Scientist,38,129400
37,Male,Master's,Product Manager,36,105000
44,Male,Bachelor's,Systems Engineer,2,42360
32,Female,Master's,Data Scientist,15,79500
33,Female,PhD,Data Analyst,34,117400
31,Female,PhD,Data Scientist,39,130700
53,Female,PhD,Sales Executive,26,108600
37,Male,Master's,Product Manager,5,66250
29,Male,Master's,UX Designer,25,88750
59,Female,PhD,UX Designer,34,119100
33,Female,Bachelor's,Systems Engineer,4,44720
45,Female,Bachelor's,Software Engineer,34,80800
49,Female,Master's,UX Designer,27,91050
29,Female,Master's,Product Manager,29,96250
49,Male,PhD,Marketing Manager,5,86000
57,Male,Master's,Project Manager,18,80700
47,Male,Master's,Marketing Manager,4,64800
